OBJECTID,GEO_ID_TRT,TRACT_LBL,E19019181,M19019181,E19019182,M19019182,E19019183,M19019183,E19019184,M19019184,E19019185,M19019185,E19019186,M19019186,E19019187,M19019187,E19019188,M19019188
1,53033000100,Tract 000100,50948,6370,27724,10575,75088,18234,80547,44043,97361,68662,105913,17607,,,,
2,53033000200,Tract 000200,69790,4434,55625,3690,78325,11913,80486,28273,95000,33392,77969,11799,,,,
3,53033000300,Tract 000300,86696,22361,46947,3682,90714,22853,105208,41179,141607,37101,167708,155885,,,,
4,53033000401,Tract 000401,32262,2972,25220,2137,59609,23190,93441,36263,121650,88099,,,,,,
5,53033000402,Tract 000402,73792,11215,44958,5480,68111,7506,158333,70277,131797,32540,160977,37133,,,,
6,53033000500,Tract 000500,146750,16035,33000,9612,121552,18559,211667,63897,156528,46281,250001,,,,,
7,53033000600,Tract 000600,63705,11509,44219,5490,79732,13633,79911,38641,140417,128362,29833,22423,,,,
8,53033000700,Tract 000700,59807,5762,43371,8692,62572,7174,81410,25736,110233,22265,250001,,,,,
9,53033000800,Tract 000800,105286,14924,46125,32703,119048,31944,99091,34372,156979,145998,209688,59788,,,,
10,53033000900,Tract 000900,138224,20930,59250,29186,131500,47449,207500,31479,200000,29229,250001,,,,,
11,53033001000,Tract 001000,83295,21176,54038,15247,81875,30588,108281,101634,140208,20322,,,,,,
12,53033001100,Tract 001100,81250,11600,43971,11608,94438,25079,81957,43958,127375,71940,200595,63764,,,,
13,53033001200,Tract 001200,45925,9711,29176,7837,60355,9403,97762,55628,,,111438,35731,,,,
14,53033001300,Tract 001300,70250,8334,31487,10362,90288,19791,89449,29326,66583,29387,106103,77995,,,,
15,53033001400,Tract 001400,92059,24730,44915,8230,95588,27815,146850,29802,105789,30866,250001,,,,,
16,53033001500,Tract 001500,110139,25840,61065,10673,86389,11578,174875,28291,242500,100476,,,,,,
17,53033001600,Tract 001600,126096,12630,62344,15886,108219,14787,207159,29412,228661,69347,210769,167318,,,,
18,53033001701,Tract 001701,69596,5453,46968,7485,94868,16030,68571,33322,126063,86184,,,,,,
19,53033001702,Tract 001702,79375,13120,51691,33598,84659,19731,108551,17064,152457,30787,,,,,,
20,53033001800,Tract 001800,102917,20932,73333,19098,107146,15722,120290,16188,74028,62772,118036,83530,,,,
21,53033001900,Tract 001900,84395,4980,52031,6343,87083,30089,160385,35837,145000,44855,146250,63450,,,,
22,53033002000,Tract 002000,99726,6980,41458,10008,116250,19122,148214,53148,160170,19566,155750,134542,,,,
23,53033002100,Tract 002100,106458,19460,48598,8120,126442,11405,117500,19759,171544,32286,171917,33937,,,,
24,53033002200,Tract 002200,135088,26706,47000,13261,139231,38693,168750,100519,213856,22038,237917,78428,,,,
25,53033002400,Tract 002400,118750,18184,61500,18950,126667,30107,110682,31173,156188,70140,243750,79145,,,,
26,53033002500,Tract 002500,113472,18106,31181,16591,104750,23225,151507,15999,185208,84449,158864,157702,221458,886,,
27,53033002600,Tract 002600,115000,9370,48942,17305,89896,24575,153833,13140,169868,36317,148194,65696,87143,57766,,
28,53033002700,Tract 002700,128292,22563,60313,38189,120288,42325,205481,92309,154205,37541,250001,,,,,
29,53033002800,Tract 002800,124107,13689,65492,8458,125938,8304,151806,42495,216196,42808,,,,,,
30,53033002900,Tract 002900,110202,20163,46683,22164,127656,34316,143929,68831,153833,20060,,,,,,
31,53033003000,Tract 003000,103470,13449,53750,17197,107196,31056,144318,54915,126518,29369,,,,,,
32,53033003100,Tract 003100,123698,9701,50417,19486,131189,20710,190078,45477,186830,56281,,,,,,
33,53033003200,Tract 003200,89375,17537,56828,10640,86979,24457,148136,49422,250001,,,,,,,
34,53033003300,Tract 003300,113188,15271,64250,12851,113500,26857,135829,20565,203214,60057,,,,,,
35,53033003400,Tract 003400,106172,12028,52455,8383,93106,21137,166719,20888,167569,53148,167361,105631,,,,
36,53033003500,Tract 003500,91806,18717,49205,8599,104643,14063,141296,26182,165966,28061,169018,87075,,,,
37,53033003600,Tract 003600,82268,8174,49094,11806,105806,13189,127306,16234,174044,108145,162083,28014,,,,
38,53033003800,Tract 003800,124792,15266,50938,22489,131750,47284,120577,50466,171071,39848,243036,150025,,,,
39,53033003900,Tract 003900,103333,31705,32447,16221,93375,20358,151528,70410,207361,64572,220125,121118,,,,
40,53033004000,Tract 004000,80208,17951,46964,8208,81771,14946,172344,20918,178542,78159,31861,2451,,,,
41,53033004100,Tract 004100,175735,7785,58819,40118,175486,17742,208417,61035,250001,,176458,60343,,,,
42,53033004200,Tract 004200,127373,13558,81071,12276,106622,26968,211364,27558,229408,43744,250001,,,,,
43,53033004301,Tract 004301,95463,21526,50163,20465,106429,12317,160357,52272,155469,108519,66902,22799,,,,
44,53033004302,Tract 004302,30679,7575,16750,6170,39806,4789,38478,10254,,,,,,,,
45,53033004400,Tract 004400,63344,21995,33953,11182,74309,35376,74901,46941,181434,6398,124375,113462,114107,89847,190154,131468
46,53033004500,Tract 004500,105536,17665,65547,29505,115268,22708,123864,23731,193036,117986,97216,38344,250001,,,
47,53033004600,Tract 004600,130909,15805,79938,6214,120583,41834,129219,70283,185909,26368,250001,,,,,
48,53033004700,Tract 004700,91288,9098,71900,13203,118547,8073,198491,87227,236182,172388,,,,,,
49,53033004800,Tract 004800,116279,9779,57804,23329,110787,19651,133403,24602,208179,141072,161181,91058,,,,
50,53033004900,Tract 004900,95917,8422,64076,12131,110547,24738,228542,136476,181406,72904,,,,,,
51,53033005000,Tract 005000,87112,19813,43333,9155,106750,21383,139375,23632,149940,50063,,,,,,
52,53033005100,Tract 005100,120318,27433,54167,28125,137442,13959,106875,68941,223977,43746,234375,59165,,,,
53,53033005200,Tract 005200,41089,9969,33116,9238,55381,20033,,,,,116875,58101,,,,
54,53033005301,Tract 005301,20950,4244,20281,9332,25865,15553,13661,9068,,,,,,,,
55,53033005302,Tract 005302,,,,,,,,,,,,,,,,
56,53033005400,Tract 005400,101270,19239,71007,17886,134118,14796,170298,34340,118537,47241,,,,,,
57,53033005600,Tract 005600,170031,15767,62829,17611,163250,38258,186875,16592,214444,26857,,,,,,
58,53033005700,Tract 005700,117449,19798,60461,20806,106406,23815,181802,26030,250001,,,,,,,
59,53033005801,Tract 005801,84583,9285,54722,19094,93795,10843,150000,46107,116917,90180,,,,,,
60,53033005802,Tract 005802,71715,8151,58041,12445,101111,23472,151528,100278,,,,,,,,
61,53033005900,Tract 005900,109567,9267,51858,5833,113731,16994,190985,159920,250001,,250001,,,,,
62,53033006000,Tract 006000,113670,13029,84481,22344,120120,29278,134343,66232,213333,82637,,,,,,
63,53033006100,Tract 006100,109055,14133,82292,14308,108775,23110,192031,136118,191774,117057,,,,,,
64,53033006200,Tract 006200,179922,36943,77958,31366,168611,29889,235625,103195,250001,,250001,,,,,
65,53033006300,Tract 006300,135956,26973,58571,12806,158047,65257,250001,,250001,,250001,,,,,
66,53033006400,Tract 006400,157670,23134,44542,31988,155536,53207,168594,26973,246435,43627,250001,,,,,
67,53033006500,Tract 006500,103750,13838,66468,8682,128167,27008,217891,108667,250001,,250001,,,,,
68,53033006600,Tract 006600,106995,15808,82179,19227,125833,25442,99135,55642,,,,,,,,
69,53033006700,Tract 006700,112224,13770,76316,11523,123871,47213,144853,48901,250001,,,,,,,
70,53033006800,Tract 006800,116111,14260,81389,28401,113295,21683,180956,87194,248958,33274,250001,,,,,
71,53033006900,Tract 006900,127702,24678,67465,13847,119563,28258,137139,117878,220326,35619,250001,,,,,
72,53033007000,Tract 007000,74063,15790,50605,11302,119673,17140,240822,190772,,,,,,,,
73,53033007100,Tract 007100,84112,3317,73750,13037,108875,27958,97623,38703,,,,,,,,
74,53033007200,Tract 007200,113125,15419,86563,22998,176695,14536,171034,115995,,,226833,49608,,,,
75,53033007300,Tract 007300,100317,18282,55024,11766,143043,46536,216250,169839,214702,111422,,,,,,
76,53033007401,Tract 007401,71453,15186,55958,7019,120679,11710,,,,,,,,,,
77,53033007402,Tract 007402,55181,9455,42045,8567,82569,35473,83229,43494,,,,,,,,
78,53033007500,Tract 007500,68838,8435,58352,9861,79463,11685,153889,28128,,,,,,,,
79,53033007600,Tract 007600,80152,15503,53221,9453,114915,24484,81326,70825,202868,169012,,,,,,
80,53033007700,Tract 007700,113397,15409,66354,25157,134688,17030,132031,71410,,,,,,,,
81,53033007800,Tract 007800,173438,50467,97344,30118,147007,60334,,,226094,19517,249042,31509,,,,
82,53033007900,Tract 007900,78846,8259,41793,12681,123393,23546,101528,67045,55868,45834,,,,,,
83,53033008001,Tract 008001,125196,18391,89655,40141,214199,40522,213036,60520,,,,,,,,
84,53033008002,Tract 008002,60699,16107,44235,10734,130486,46430,,,,,,,,,,
85,53033008100,Tract 008100,68884,24494,35891,11766,129844,22284,,,,,,,,,,
86,53033008200,Tract 008200,81736,15299,50500,12101,147308,20731,,,,,,,,,,
