Group,GEOID,ALAND20,AWATER20,Lat,Long,Shape_Leng,Shape_Length,Shape_Area
1,53033000101,414848,0,47.7301150,-122.2930741,8662.10098,8662.10098,4465061.74
2,53033000102,1495019,918878,47.7247297,-122.2845705,22442.91458,22442.91458,25981033.79
3,53033000201,1806749,0,47.7263725,-122.3160435,18651.59445,18651.59445,19446251.04
4,53033000202,1480085,0,47.7269637,-122.3026174,17285.85333,17285.85333,15930357.39
5,53033000300,1211013,0,47.7305259,-122.3329277,17298.15215,17298.15215,13034275.56
6,53033000402,1798938,0,47.7168585,-122.3523664,21397.1753,21397.1753,19362220.52
7,53033000403,669384,62871,47.7279716,-122.3536298,14097.21506,14097.21506,7881373.51
8,53033000404,599476,31541,47.7329839,-122.3497477,12962.8074,12962.8074,6791703.233
9,53033000500,2898252,953717,47.7224094,-122.3710555,29311.12068,29311.12068,41459300.09
10,53033000601,1431268,0,47.7167031,-122.3232436,20078.95648,20078.95648,15404952.58
11,53033000602,2355577,55191,47.7188129,-122.3363779,23221.70475,23221.70475,25947507.86
12,53033000700,1294438,0,47.7156896,-122.3018611,16134.02991,16134.02991,13932242.39
13,53033000800,1141931,0,47.7112517,-122.2860818,15312.08746,15312.08746,12290810.02
14,53033000900,1004853,1849039,47.7080031,-122.2748976,27230.78539,27230.78539,30716929.08
15,53033001000,954203,0,47.7064073,-122.2960632,13147.0306,13147.0306,10270271.69
16,53033001100,1060685,0,47.7065465,-122.306806,14159.12735,14159.12735,11416399.59
17,53033001201,1008240,0,47.7079921,-122.3273315,15899.77334,15899.77334,10851861.64
18,53033001202,821426,0,47.7060217,-122.3172561,13324.99009,13324.99009,8841145.884
19,53033001300,1180877,0,47.7022935,-122.3421875,14881.08705,14881.08705,12710036.99
20,53033001400,2152767,213389,47.7078795,-122.3674088,34964.76777,34964.76777,25467334.47
21,53033001500,1167711,526885,47.6979702,-122.3952683,19732.56675,19732.56675,18239275.93
22,53033001600,2020358,320118,47.7004649,-122.3798699,24422.82027,24422.82027,25190946.93
23,53033001701,892768,0,47.6963619,-122.3544843,17164.45478,17164.45478,9609026.085
24,53033001702,1280220,0,47.6965211,-122.3639488,17476.40751,17476.40751,13779275.76
25,53033001800,946085,0,47.6940568,-122.3419681,13946.10003,13946.10003,10182882.27
26,53033001900,1667272,0,47.6965229,-122.3262226,18948.48127,18948.48127,17945171.52
27,53033002000,1103313,28680,47.6953310,-122.3108025,15509.54571,15509.54571,12183878.82
28,53033002100,1365468,0,47.6953673,-122.2980453,16139.92186,16139.92186,14696796.74
29,53033002200,2804076,1154953,47.6941159,-122.2754574,39974.10587,39974.10587,42611837.56
30,53033002400,962528,0,47.6866167,-122.2879303,13151.71252,13151.71252,10359919.78
31,53033002500,984334,0,47.6838969,-122.3022793,16442.96859,16442.96859,10594634.3
32,53033002600,1216627,28175,47.6822031,-122.3113993,15933.9379,15933.9379,13398040.18
33,53033002700,1584847,0,47.6868572,-122.3310895,21942.83528,21942.83528,17058079.28
34,53033002800,988287,0,47.6851257,-122.3498985,13201.3113,13201.3113,10637151.82
35,53033002900,986209,0,47.6850872,-122.3606466,13366.31967,13366.31967,10614791.11
36,53033003000,1493249,0,47.6850958,-122.3740444,16061.94762,16061.94762,16072222.01
37,53033003100,2236733,472744,47.6877574,-122.3964308,27799.75814,27799.75814,29162680.12
38,53033003201,1152079,1354300,47.6752462,-122.4040825,28928.9486,28928.9486,26976829.1
39,53033003202,956016,0,47.6752342,-122.3942667,12945.39486,12945.39486,10289818.46
40,53033003301,669207,0,47.6759370,-122.3820154,11177.18133,11177.18133,7202858.494
41,53033003302,627071,0,47.6760080,-122.3712585,10550.81793,10550.81793,6749336.486
42,53033003400,787161,0,47.6740646,-122.3617462,12629.32293,12629.32293,8472471.715
43,53033003500,1284745,0,47.6725466,-122.352088,16634.34896,16634.34896,13828061.67
44,53033003601,674139,0,47.6749093,-122.326043,11894.28889,11894.28889,7255879.068
45,53033003602,522326,0,47.6801362,-122.3218336,11471.09438,11471.09438,5621886.085
46,53033003800,624606,0,47.6794093,-122.2955292,10392.53155,10392.53155,6722791.394
47,53033003900,973808,0,47.6794117,-122.2823414,13200.90921,13200.90921,10481334.98
48,53033004000,2574586,3232248,47.6817180,-122.252368,39161.13648,39161.13648,62500419.06
49,53033004101,1601973,3290570,47.6606400,-122.2694346,35452.4721,35452.4721,52660017.19
50,53033004102,1689910,2027249,47.6737465,-122.25175,33734.47135,33734.47135,40008776.49
51,53033004201,1244114,0,47.6716240,-122.277599,18286.14392,18286.14392,13390664.27
52,53033004202,1220977,0,47.6687521,-122.2907266,15651.66637,15651.66637,13141688.45
53,53033004301,979236,0,47.6694019,-122.3002215,17192.70375,17192.70375,10539780.57
54,53033004302,331137,0,47.6647387,-122.3035964,7987.274419,7987.274419,3564115.67
55,53033004401,694919,0,47.6712710,-122.3107454,12948.97514,12948.97514,7479571.761
56,53033004402,294988,0,47.6681501,-122.3147285,7487.979857,7487.979857,3175021.433
57,53033004500,670997,0,47.6685824,-122.3229111,11018.30209,11018.30209,7222109.888
58,53033004600,1552358,1033232,47.6830920,-122.3378674,25514.224,25514.224,27829368.76
59,53033004701,571393,176916,47.6654796,-122.3828943,13799.08763,13799.08763,8054301.314
60,53033004702,266414,0,47.6705130,-122.3778052,6956.449675,6956.449675,2867507.734
61,53033004703,1188631,155567,47.6643472,-122.3721352,18210.0892,18210.0892,14467955.03
62,53033004800,1278329,26886,47.6608472,-122.3601847,18971.66157,18971.66157,14048449.2
63,53033004901,497144,0,47.6613804,-122.3513529,9379.655767,9379.655767,5350888.216
64,53033004902,597604,17368,47.6527830,-122.3506012,11198.18663,11198.18663,6619147.794
65,53033005000,757380,0,47.6608696,-122.3418076,11560.14801,11560.14801,8151942.295
66,53033005100,881731,0,47.6585183,-122.332248,13462.59155,13462.59155,9490350.153
67,53033005201,699701,73218,47.6595743,-122.3245993,16063.50425,16063.50425,8319183.204
68,53033005202,269234,19268,47.6567013,-122.3203201,7939.719204,7939.719203,3105250.119
69,53033005303,2432843,749176,47.6540399,-122.3012544,24805.79594,24805.79594,34249105.92
70,53033005304,73030,0,47.6561001,-122.3150258,4083.126066,4083.126066,786047.0981
71,53033005305,212967,0,47.6590644,-122.3148784,6048.609222,6048.609222,2292236.616
72,53033005306,200489,0,47.6630891,-122.3141376,5954.872623,5954.872623,2157906.058
73,53033005307,130030,0,47.6630600,-122.3086776,4758.85069,4758.85069,1399526.48
74,53033005401,756239,615226,47.6475292,-122.3381077,18798.56546,18798.56546,14761543.71
75,53033005402,463900,0,47.6541050,-122.3411359,10063.79785,10063.79785,4993141.865
76,53033005600,3022785,1546484,47.6405468,-122.4071053,33933.62365,33933.62365,49180655.04
77,53033005700,5085640,2365806,47.6581015,-122.4137704,49994.61141,49994.61141,80202146.08
78,53033005801,1822365,260223,47.6548926,-122.3850376,21075.75901,21075.75901,22415556.17
79,53033005803,832097,0,47.6424544,-122.3878383,17129.19881,17129.19881,8956173.424
80,53033005804,2334443,1169687,47.6319354,-122.3774788,37828.32998,37828.32998,37716271.73
81,53033005901,778385,173882,47.6530716,-122.3696366,16252.05631,16252.05631,10249553.11
82,53033005902,1022976,0,47.6444414,-122.3684358,15184.22057,15184.22057,11010649.89
83,53033006000,1340653,160754,47.6432313,-122.3527936,19181.19173,19181.19173,16160202.99
84,53033006100,1198411,681782,47.6444403,-122.3222647,22036.09201,22036.09201,20237160.44
85,53033006200,2437426,239356,47.6391316,-122.3012264,35779.29243,35779.29243,28811213.48
86,53033006300,2610569,3533560,47.6350162,-122.2767793,38400.55404,38400.55404,66131582.05
87,53033006400,903649,0,47.6285398,-122.3048258,13186.77018,13186.77018,9726351.904
88,53033006500,1147619,0,47.6309633,-122.3177579,17921.50133,17921.50133,12352257.76
89,53033006600,1109813,838435,47.6280900,-122.3312907,19719.46205,19719.46205,20969750.76
90,53033006701,380256,105441,47.6324360,-122.3407805,11330.97652,11330.97652,5227746.334
91,53033006702,304748,0,47.6273058,-122.3456689,8593.864905,8593.864905,3280147.995
92,53033006703,597133,0,47.6345035,-122.3473591,10846.49304,10846.49304,6427171.884
93,53033006800,718106,0,47.6360306,-122.3564653,11275.37735,11275.37735,7729250.271
94,53033006900,905121,0,47.6343813,-122.3669907,15666.54395,15666.54395,9742176.65
95,53033007001,358281,0,47.6278767,-122.3603612,9530.302569,9530.302569,3856290.05
96,53033007002,441021,0,47.6285230,-122.3541023,9490.799057,9490.799057,4746869.845
97,53033007101,495054,0,47.6216965,-122.3530304,9004.947227,9004.947227,5328474.607
98,53033007102,335908,0,47.6231794,-122.3626414,11499.94075,11499.94075,3615500.898
99,53033007201,150744,0,47.6171374,-122.3460833,5873.216511,5873.216511,1622558.9
100,53033007202,280585,0,47.6153600,-122.340578,7591.701883,7591.701883,3020075.663
101,53033007203,579631,0,47.6220291,-122.3435701,12493.9648,12493.9648,6238804.943
102,53033007301,250787,0,47.6219263,-122.3308665,7422.610693,7422.610693,2699344.108
103,53033007302,312981,0,47.6163784,-122.3341111,7802.426354,7802.426354,3368769.265
104,53033007303,313527,0,47.6219789,-122.335832,7984.863522,7984.863522,3374596.393
105,53033007403,118559,0,47.6228951,-122.3227163,5227.495287,5227.495287,1276089.069
106,53033007404,153725,0,47.6230967,-122.3264852,5775.699987,5775.699987,1654579.828
107,53033007405,131830,0,47.6180293,-122.3235972,5012.79869,5012.79869,1418974.042
108,53033007406,150829,0,47.6193203,-122.3260062,6764.477241,6764.477241,1623443.827
109,53033007501,298283,0,47.6221056,-122.3167948,7219.623642,7219.623642,3210519.937
110,53033007502,315931,0,47.6176046,-122.316793,7403.629293,7403.629293,3400503.555
111,53033007503,187541,0,47.6138039,-122.317187,6484.389482,6484.389482,2018614.368
112,53033007600,571882,0,47.6218678,-122.3075858,9906.368336,9906.368336,6155389.389
113,53033007700,1058322,0,47.6191203,-122.2973516,15242.20976,15242.20976,11391208.22
114,53033007800,2097740,3632914,47.6141558,-122.2810958,36419.05977,36419.05977,61681580.69
115,53033007901,267231,0,47.6144349,-122.3108156,7879.40434,7879.404339,2876299.502
116,53033007902,431244,0,47.6143565,-122.3057243,9715.120877,9715.120877,4641637.8
117,53033008002,234314,0,47.6120898,-122.3453618,7998.382466,7998.382466,2522029.808
118,53033008003,197152,0,47.6161316,-122.3495916,8720.999422,8720.999421,2122043.711
119,53033008004,284626,526767,47.6150718,-122.3552018,16143.18133,16143.18133,8733362.416
120,53033008101,270324,277671,47.6074716,-122.3427956,11596.70207,11596.70207,5898349.555
121,53033008102,556705,91220,47.6052820,-122.336012,15148.09679,15148.09679,6973948.965
122,53033008200,375785,0,47.6102887,-122.3318896,9102.140341,9102.140342,4044773.826
