OBJECTID,GEO_ID_TRT,TRACT_LBL,E01003097,M01003097
1,53033000100,Tract 000100,7985,526
2,53033000200,Tract 000200,8498,435
3,53033000300,Tract 000300,2991,219
4,53033000401,Tract 000401,6560,423
5,53033000402,Tract 000402,5419,619
6,53033000500,Tract 000500,3143,189
7,53033000600,Tract 000600,8124,558
8,53033000700,Tract 000700,5217,431
9,53033000800,Tract 000800,2710,177
10,53033000900,Tract 000900,2009,129
11,53033001000,Tract 001000,2055,140
12,53033001100,Tract 001100,2752,268
13,53033001200,Tract 001200,7124,436
14,53033001300,Tract 001300,4702,294
15,53033001400,Tract 001400,5674,527
16,53033001500,Tract 001500,2752,155
17,53033001600,Tract 001600,4758,310
18,53033001701,Tract 001701,4024,307
19,53033001702,Tract 001702,5018,316
20,53033001800,Tract 001800,5246,332
21,53033001900,Tract 001900,4971,296
22,53033002000,Tract 002000,3754,218
23,53033002100,Tract 002100,4350,218
24,53033002200,Tract 002200,5867,412
25,53033002400,Tract 002400,3224,196
26,53033002500,Tract 002500,3357,303
27,53033002600,Tract 002600,5268,253
28,53033002700,Tract 002700,6415,503
29,53033002800,Tract 002800,4925,343
30,53033002900,Tract 002900,4863,298
31,53033003000,Tract 003000,6314,344
32,53033003100,Tract 003100,6452,234
33,53033003200,Tract 003200,8813,540
34,53033003300,Tract 003300,7560,468
35,53033003400,Tract 003400,3630,211
36,53033003500,Tract 003500,4218,207
37,53033003600,Tract 003600,7122,507
38,53033003800,Tract 003800,2362,131
39,53033003900,Tract 003900,3070,191
40,53033004000,Tract 004000,3237,247
41,53033004100,Tract 004100,8106,449
42,53033004200,Tract 004200,8588,479
43,53033004301,Tract 004301,3827,260
44,53033004302,Tract 004302,4116,446
45,53033004400,Tract 004400,7634,847
46,53033004500,Tract 004500,3348,376
47,53033004600,Tract 004600,3623,230
48,53033004700,Tract 004700,9409,488
49,53033004800,Tract 004800,5213,367
50,53033004900,Tract 004900,7058,552
51,53033005000,Tract 005000,4011,415
52,53033005100,Tract 005100,3716,209
53,53033005200,Tract 005200,6674,637
54,53033005301,Tract 005301,8226,770
55,53033005302,Tract 005302,5320,629
56,53033005400,Tract 005400,6120,386
57,53033005600,Tract 005600,6954,471
58,53033005700,Tract 005700,6864,417
59,53033005801,Tract 005801,5351,396
60,53033005802,Tract 005802,5853,430
61,53033005900,Tract 005900,8030,477
62,53033006000,Tract 006000,5915,449
63,53033006100,Tract 006100,5312,360
64,53033006200,Tract 006200,4578,249
65,53033006300,Tract 006300,5945,556
66,53033006400,Tract 006400,3616,210
67,53033006500,Tract 006500,4995,434
68,53033006600,Tract 006600,4245,401
69,53033006700,Tract 006700,9508,695
70,53033006800,Tract 006800,3356,224
71,53033006900,Tract 006900,5121,284
72,53033007000,Tract 007000,7477,449
73,53033007100,Tract 007100,5041,368
74,53033007200,Tract 007200,10403,854
75,53033007300,Tract 007300,7402,527
76,53033007401,Tract 007401,5502,418
77,53033007402,Tract 007402,5560,404
78,53033007500,Tract 007500,9289,534
79,53033007600,Tract 007600,4389,362
80,53033007700,Tract 007700,5382,394
81,53033007800,Tract 007800,5675,317
82,53033007900,Tract 007900,6228,398
83,53033008001,Tract 008001,7182,614
84,53033008002,Tract 008002,3688,339
85,53033008100,Tract 008100,4706,515
86,53033008200,Tract 008200,4286,391
87,53033008300,Tract 008300,3265,254
88,53033008400,Tract 008400,4865,386
89,53033008500,Tract 008500,4195,335
90,53033008600,Tract 008600,6079,734
91,53033008700,Tract 008700,4573,349
92,53033008800,Tract 008800,4435,372
93,53033008900,Tract 008900,6068,527
94,53033009000,Tract 009000,3457,359
95,53033009100,Tract 009100,2464,262
96,53033009200,Tract 009200,2763,237
97,53033009300,Tract 009300,2637,270
98,53033009400,Tract 009400,7243,600
99,53033009500,Tract 009500,6517,407
100,53033009600,Tract 009600,5663,401
101,53033009701,Tract 009701,6233,315
102,53033009702,Tract 009702,5596,335
103,53033009800,Tract 009800,7201,424
104,53033009900,Tract 009900,6180,475
105,53033010001,Tract 010001,4516,329
106,53033010002,Tract 010002,4925,354
107,53033010100,Tract 010100,8943,556
108,53033010200,Tract 010200,4762,268
109,53033010300,Tract 010300,7305,754
110,53033010401,Tract 010401,4382,347
111,53033010402,Tract 010402,4933,354
112,53033010500,Tract 010500,8303,488
113,53033010600,Tract 010600,8466,495
114,53033010701,Tract 010701,3907,297
115,53033010702,Tract 010702,4930,306
116,53033010800,Tract 010800,4862,335
117,53033010900,Tract 010900,1115,103
118,53033011001,Tract 011001,4777,382
119,53033011002,Tract 011002,4765,386
120,53033011101,Tract 011101,5546,395
121,53033011102,Tract 011102,4747,445
122,53033011200,Tract 011200,3705,409
123,53033011300,Tract 011300,6973,481
124,53033011401,Tract 011401,4347,295
125,53033011402,Tract 011402,4316,263
126,53033011500,Tract 011500,4509,286
127,53033011600,Tract 011600,7049,389
128,53033011700,Tract 011700,5379,451
129,53033011800,Tract 011800,8520,773
130,53033011900,Tract 011900,7649,612
131,53033012000,Tract 012000,3622,232
132,53033012100,Tract 012100,2660,141
133,53033020100,Tract 020100,3279,262
134,53033020200,Tract 020200,5395,322
135,53033020300,Tract 020300,7128,466
136,53033020401,Tract 020401,3760,245
137,53033020402,Tract 020402,5613,398
138,53033020500,Tract 020500,6669,367
139,53033020600,Tract 020600,3620,212
140,53033020700,Tract 020700,3791,231
141,53033020800,Tract 020800,4273,188
142,53033020900,Tract 020900,3645,283
143,53033021000,Tract 021000,6010,374
144,53033021100,Tract 021100,4485,352
145,53033021300,Tract 021300,4047,368
146,53033021400,Tract 021400,4064,248
147,53033021500,Tract 021500,4611,296
148,53033021600,Tract 021600,5038,316
149,53033021700,Tract 021700,8655,454
150,53033021802,Tract 021802,5818,343
151,53033021803,Tract 021803,4943,372
152,53033021804,Tract 021804,5133,440
153,53033021903,Tract 021903,6404,528
154,53033021904,Tract 021904,5007,290
155,53033021905,Tract 021905,5674,361
156,53033021906,Tract 021906,4550,316
157,53033022001,Tract 022001,5552,426
158,53033022003,Tract 022003,5069,351
159,53033022005,Tract 022005,4964,300
160,53033022006,Tract 022006,3907,341
161,53033022101,Tract 022101,4847,232
162,53033022102,Tract 022102,6463,287
163,53033022201,Tract 022201,4430,275
164,53033022202,Tract 022202,7509,521
165,53033022203,Tract 022203,4918,255
166,53033022300,Tract 022300,2779,154
167,53033022400,Tract 022400,8611,611
168,53033022500,Tract 022500,8414,523
169,53033022603,Tract 022603,6173,426
170,53033022604,Tract 022604,5069,336
171,53033022605,Tract 022605,6347,388
172,53033022606,Tract 022606,6087,450
173,53033022701,Tract 022701,3315,271
174,53033022702,Tract 022702,4182,331
175,53033022703,Tract 022703,2357,221
176,53033022801,Tract 022801,9233,574
177,53033022802,Tract 022802,5340,265
178,53033022803,Tract 022803,6083,511
179,53033022901,Tract 022901,2992,252
180,53033022902,Tract 022902,6573,435
181,53033023000,Tract 023000,5718,338
182,53033023100,Tract 023100,4143,247
183,53033023201,Tract 023201,6639,548
